subject_name,tissue,num_samples
D145,BM,6
D145,Colon,6
D145,Ileum,6
D145,ILN,6
D145,Jejunum,6
D145,Lung,6
D145,MLN,6
D145,PBL,6
D145,SPL,6
D149,BM,6
D149,Colon,6
D149,Ileum,6
D149,Jejunum,6
D149,Lung,6
D149,MLN,6
D149,PBL,3
D149,SPL,6
D154,BM,6
D154,Colon,6
D154,Ileum,6
D154,Jejunum,6
D154,PBL,6
D154,SPL,6
D159,BM,16
D159,MLN,18
D159,PBL,15
D159,SPL,20
D168,BM,5
D168,Colon,6
D168,ILE,3
D168,Ileum,3
D168,ILN,3
D168,Jejunum,6
D168,Lung,6
D168,MLN,6
D168,PBL,6
D168,SPL,6
D181,BM,13
D181,Colon,14
D181,Ileum,14
D181,Jejunum,14
D181,Lung,11
D181,MLN,14
D181,PBL,17
D181,SPL,14
D182,BM,6
D182,Colon,6
D182,ILE,3
D182,Ileum,3
D182,Jejunum,6
D182,Lung,6
D182,MLN,6
D182,PBL,9
D182,SPL,6
D207,BM,35
D207,Colon,25
D207,Ileum,25
D207,Jejunum,20
D207,Lung,26
D207,MLN,36
D207,PBL,43
D207,SPL,47
Hu-1,PBL,3
